pool_address,token_index,token_address,pool
0xd51a44d3fae010294c616388b506acda1bfaae46,0,0xdac17f958d2ee523a2206206994597c13d831ec7,tricrypto2
0xd51a44d3fae010294c616388b506acda1bfaae46,1,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,tricrypto2
0xd51a44d3fae010294c616388b506acda1bfaae46,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,tricrypto2
0xdcef968d416a41cdac0ed8702fac8128a64241a2,0,0x853d955acef822db058eb8505911ed77f175b99e,fraxusdc
0xdcef968d416a41cdac0ed8702fac8128a64241a2,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,fraxusdc
0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,0,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,gusd
0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,1,0x6b175474e89094c44da98b954eedeac495271d0f,gusd
0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,gusd
0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,3,0xdac17f958d2ee523a2206206994597c13d831ec7,gusd
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,steth
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,1,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,0,0x4fabb145d64652a948d72533023f6e7a623c7c53,busdcv2
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,1,0x6b175474e89094c44da98b954eedeac495271d0f,busdcv2
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,busdcv2
0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,3,0xdac17f958d2ee523a2206206994597c13d831ec7,busdcv2
0x93054188d876f558f4a66b2ef1d97d16edf0895b,0,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,ren
0x93054188d876f558f4a66b2ef1d97d16edf0895b,1,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ren
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0,0x6b175474e89094c44da98b954eedeac495271d0f,3pool
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3pool
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2,0xdac17f958d2ee523a2206206994597c13d831ec7,3pool
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,0,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,lusd
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1,0x6b175474e89094c44da98b954eedeac495271d0f,lusd
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,lusd
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,3,0xdac17f958d2ee523a2206206994597c13d831ec7,lusd
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,0,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,sbtc
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,1,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,sbtc
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,2,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,sbtc
0x8301ae4fc9c624d1d396cbdaa1ed877821d7c511,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,crveth
0x8301ae4fc9c624d1d396cbdaa1ed877821d7c511,1,0xd533a949740bb3306d119cc777fa900ba034cd52,crveth
0xa5407eae9ba41422680e2e00537571bcc53efbfd,0,0x6b175474e89094c44da98b954eedeac495271d0f,sUSD
0xa5407eae9ba41422680e2e00537571bcc53efbfd,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,sUSD
0xa5407eae9ba41422680e2e00537571bcc53efbfd,2,0xdac17f958d2ee523a2206206994597c13d831ec7,sUSD
0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,cvxeth
0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4,1,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,cvxeth
0x329239599afb305da0a2ec69c58f8a6697f9f88d,0,0x6b175474e89094c44da98b954eedeac495271d0f,
0x329239599afb305da0a2ec69c58f8a6697f9f88d,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,
0x329239599afb305da0a2ec69c58f8a6697f9f88d,2,0xdac17f958d2ee523a2206206994597c13d831ec7,
0x329239599afb305da0a2ec69c58f8a6697f9f88d,3,0x0000000000085d4780b73119b644ae5ecd22b376,
0x9d0464996170c6b9e75eed71c68b99ddedf279e8,0,0x6b175474e89094c44da98b954eedeac495271d0f,
0x9d0464996170c6b9e75eed71c68b99ddedf279e8,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,
0x9d0464996170c6b9e75eed71c68b99ddedf279e8,2,0xdac17f958d2ee523a2206206994597c13d831ec7,
0x9d0464996170c6b9e75eed71c68b99ddedf279e8,3,0x0000000000085d4780b73119b644ae5ecd22b376,
0x3211c6cbef1429da3d0d58494938299c92ad5860,0,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,
0x3211c6cbef1429da3d0d58494938299c92ad5860,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,
0x55a8a39bc9694714e2874c1ce77aa1e599461e18,0,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,
0x55a8a39bc9694714e2874c1ce77aa1e599461e18,1,0xa47c8bf37f92abed4a126bda807a7b7498661acd,
0xf9440930043eb3997fc70e1339dbb11f341de7a8,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,
0xf9440930043eb3997fc70e1339dbb11f341de7a8,1,0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593,
0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,
0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,1,0xE95A203B1a91a908F9B9CE46459d101078c2c3cb,
