synth_symbol,synth_proxy_address
sAAVE,0xd2df355c19471c8bd7d8a3aa27ff4e26a21b4076
sADA,0xe36e2d3c7c34281fa3bc737950a68571736880a1
sAUD,0xf48e200eaf9906362bb1442fca31e0835773b8b4
sBTC,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6
sCHF,0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d
sDOT,0x1715ac0743102bf5cd58efbb6cf2dc2685d967b6
sETH,0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb
sETHBTC,0x104edf1da359506548bfc7c25ba1e28c16a70235
sEUR,0xd71ecff9342a5ced620049e616c5035f1db98620
sGBP,0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f
sJPY,0xf6b1c627e95bfc3c1b4c9b825a032ff0fbf3e07d
sKRW,0x269895a3df4d73b077fc823dd6da1b95f72aaf9b
sLINK,0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6
sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51