POOL_ADDRESS,TOKEN_ADDRESS,TOKEN_INDEX,TOKEN_TYPE,TOKEN_SYMBOL,TOKEN_DECIMALS,TOKEN_NAME,POOL_NAME,POOL_ID,_INSERTED_TIMESTAMP,DEPLOYER_ADDRESS,TX_HASH,BLOCK_NUMBER,BLOCK_TIMESTAMP,_CALL_ID
0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c,0xdac17f958d2ee523a2206206994597c13d831ec7,2,coins,USDT,6,Tether USD,Curve.fi Pool: cDAI-cUSDC-USDT,0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c0xdac17f958d2ee523a2206206994597c13d831ec7,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x230a00553d373fe696304795818d35e8d9fded6e9a3c5907bb46709c0e3b3e64,9456293,2020-02-10T04:45:58Z,9456293-13-CREATE_ORIGIN
0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,coins,cDAI,8,Compound Dai,Curve.fi Pool: cDAI-cUSDC-USDT,0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x230a00553d373fe696304795818d35e8d9fded6e9a3c5907bb46709c0e3b3e64,9456293,2020-02-10T04:45:58Z,9456293-13-CREATE_ORIGIN
0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c,0x39aa39c021dfbae8fac545936693ac917d5e7563,1,coins,cUSDC,8,Compound USD Coin,Curve.fi Pool: cDAI-cUSDC-USDT,0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c0x39aa39c021dfbae8fac545936693ac917d5e7563,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x230a00553d373fe696304795818d35e8d9fded6e9a3c5907bb46709c0e3b3e64,9456293,2020-02-10T04:45:58Z,9456293-13-CREATE_ORIGIN
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2,coins,sBTC,18,Synth sBTC,Curve.fi Pool: renBTC-WBTC-sBTC,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a97140xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x6d1ef1e56febb5fdacedd5470aeb7ecbfe767963934821b62de9ad28da81179a,10276641,2020-06-16T011:57:02Z,10276641-42-CREATE_ORIGIN
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0,coins,renBTC,8,renBTC,Curve.fi Pool: renBTC-WBTC-sBTC,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a97140xeb4c2781e4eba804ce9a9803c67d0893436bb27d,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x6d1ef1e56febb5fdacedd5470aeb7ecbfe767963934821b62de9ad28da81179a,10276641,2020-06-16T011:57:02Z,10276641-42-CREATE_ORIGIN
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,1,coins,WBTC,8,Wrapped BTC,Curve.fi Pool: renBTC-WBTC-sBTC,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a97140x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x6d1ef1e56febb5fdacedd5470aeb7ecbfe767963934821b62de9ad28da81179a,10276641,2020-06-16T011:57:02Z,10276641-42-CREATE_ORIGIN
0x93054188d876f558f4a66b2ef1d97d16edf0895b,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0,coins,renBTC,8,renBTC,Curve.fi Pool: renBTC-WBTC,0x93054188d876f558f4a66b2ef1d97d16edf0895b0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x12422cd099f0b6a09fb6fb53e66ee1ec6a1bd8377718b5025c5998176cd27935,10151385,2020-05-28T01:50:43Z,10151385-5-CREATE_ORIGIN
0x93054188d876f558f4a66b2ef1d97d16edf0895b,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,1,coins,WBTC,8,Wrapped BTC,Curve.fi Pool: renBTC-WBTC,0x93054188d876f558f4a66b2ef1d97d16edf0895b0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x12422cd099f0b6a09fb6fb53e66ee1ec6a1bd8377718b5025c5998176cd27935,10151385,2020-05-28T01:50:43Z,10151385-5-CREATE_ORIGIN
0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,coins,cDAI,8,Compound Dai,Curve.fi Pool: cDAI-cUSDC,0xa2b47e3d5c44877cca798226b7b8118f9bfb7a560x5d3a536e4d6dbd6114cc1ead35777bab948e3643,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x39f6f83e7b1b7dab4afa05020c0b3b4b1cbc64bfd583af46122d26ef87f2d3f9,9554040,2020-02-25T05:48:31Z,9554040-22-CREATE_ORIGIN
0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,0x39aa39c021dfbae8fac545936693ac917d5e7563,1,coins,cUSDC,8,Compound USD Coin,Curve.fi Pool: cDAI-cUSDC,0xa2b47e3d5c44877cca798226b7b8118f9bfb7a560x39aa39c021dfbae8fac545936693ac917d5e7563,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x39f6f83e7b1b7dab4afa05020c0b3b4b1cbc64bfd583af46122d26ef87f2d3f9,9554040,2020-02-25T05:48:31Z,9554040-22-CREATE_ORIGIN
0xa5407eae9ba41422680e2e00537571bcc53efbfd,0xdac17f958d2ee523a2206206994597c13d831ec7,2,coins,USDT,6,Tether USD,Curve.fi Pool: DAI-USDC-USDT-sUSD,0xa5407eae9ba41422680e2e00537571bcc53efbfd0xdac17f958d2ee523a2206206994597c13d831ec7,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x51aca4a03a395de8855fa2ca59b7febe520c2a223e69c502066162f7c1a95ec2,9906598,2020-04-20T02:14:04Z,9906598-78-CREATE_ORIGIN
0xa5407eae9ba41422680e2e00537571bcc53efbfd,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,coins,USDC,6,USD Coin,Curve.fi Pool: DAI-USDC-USDT-sUSD,0xa5407eae9ba41422680e2e00537571bcc53efbfd0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x51aca4a03a395de8855fa2ca59b7febe520c2a223e69c502066162f7c1a95ec2,9906598,2020-04-20T02:14:04Z,9906598-78-CREATE_ORIGIN
0xa5407eae9ba41422680e2e00537571bcc53efbfd,0x6b175474e89094c44da98b954eedeac495271d0f,0,coins,DAI,18,Dai Stablecoin,Curve.fi Pool: DAI-USDC-USDT-sUSD,0xa5407eae9ba41422680e2e00537571bcc53efbfd0x6b175474e89094c44da98b954eedeac495271d0f,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x51aca4a03a395de8855fa2ca59b7febe520c2a223e69c502066162f7c1a95ec2,9906598,2020-04-20T02:14:04Z,9906598-78-CREATE_ORIGIN
0xa5407eae9ba41422680e2e00537571bcc53efbfd,0x57ab1ec28d129707052df4df418d58a2d46d5f51,3,coins,sUSD,18,Synth sUSD,Curve.fi Pool: DAI-USDC-USDT-sUSD,0xa5407eae9ba41422680e2e00537571bcc53efbfd0x57ab1ec28d129707052df4df418d58a2d46d5f51,2020-01-01T00:00:00Z,0xc447fcaf1def19a583f97b3620627bf69c05b5fb,0x51aca4a03a395de8855fa2ca59b7febe520c2a223e69c502066162f7c1a95ec2,9906598,2020-04-20T02:14:04Z,9906598-78-CREATE_ORIGIN